Bairro;Quartos;Vagas;Suites;Area;Valor;Condominio;IPTU
Jacarepaguá;1;0;0;30;550.0;18.0;8.0
Catete;1;0;0;24;1100.0;357.0;
Campo Grande;1;0;0;50;500.0;;
Copacabana;1;0;0;28;1100.0;450.0;54.0
Centro;1;0;0;40;1000.0;275.0;20.0
Taquara;1;0;0;20;500.0;;
Santa Teresa;1;0;0;22;500.0;98.0;6.0
Centro;1;0;0;30;800.0;400.0;
Praça da Bandeira;1;0;0;39;900.0;437.0;
Santa Teresa;1;0;0;49;660.0;235.0;14.0
Copacabana;1;0;0;21;700.0;508.0;
Água Santa;1;0;0;40;600.0;100.0;14.0
Centro;1;0;0;25;1000.0;321.0;24.0
Rocha Miranda;1;1;0;35;699.0;99.0;
Campo Grande;1;0;0;50;450.0;;2.0
Pechincha;1;1;0;46;800.0;585.0;
Centro;1;0;0;30;800.0;400.0;23.0
Centro;1;0;0;20;1000.0;216.0;21.0
Realengo;1;0;0;60;700.0;;
Centro;1;0;0;27;800.0;450.0;15.0
Praça da Bandeira;1;0;0;35;1090.0;450.0;25.0
Ramos;1;0;0;45;600.0;240.0;
Tijuca;1;0;0;33;1000.0;515.0;14.0
Pavuna;1;0;0;30;450.0;20.0;50.0
Campo Grande;1;1;0;40;500.0;182.0;
Bento Ribeiro;1;0;0;53;700.0;40.0;
Centro;1;0;0;55;950.0;433.0;47.0
Fátima;1;0;0;35;900.0;310.0;25.0
Centro;1;0;0;34;800.0;424.0;25.0
Campo Grande;1;1;0;50;500.0;180.0;
Honório Gurgel;1;0;0;80;750.0;;
Botafogo;1;0;0;35;1000.0;293.0;86.0
Botafogo;1;0;0;25;1100.0;570.0;
Colégio;1;0;0;45;660.0;;
São Cristóvão;1;1;0;22;980.0;400.0;
Campo Grande;1;0;0;70;700.0;;
Cachambi;1;1;0;35;800.0;407.0;
Freguesia (Jacarepaguá);1;1;0;55;900.0;395.0;88.0
Rocha Miranda;1;2;0;47;850.0;;
Turiaçu;1;0;0;50;900.0;;
Ilha do Governador;1;0;0;35;750.0;;60.0
Catete;1;0;1;34;1000.0;400.0;53.0
Copacabana;1;1;0;24;1100.0;341.0;22.0
Jardim América;1;0;0;45;500.0;;
Vila Militar;1;0;0;30;500.0;;
Copacabana;1;0;0;32;1100.0;530.0;28.0
Lapa;1;0;0;30;1100.0;420.0;
Padre Miguel;1;0;0;40;670.0;;2.0
Centro;1;0;0;30;1000.0;394.0;20.0
Pilares;1;0;0;24;500.0;8.0;13.0
Pedra de Guaratiba;1;0;0;70;400.0;;
Maria da Graça;1;0;0;40;900.0;;
Vila Isabel;1;0;0;36;1050.0;385.0;
Centro;1;0;0;21;800.0;306.0;
Freguesia (Jacarepaguá);1;0;0;28;500.0;;
Santa Teresa;1;0;0;30;500.0;;31.0
Campo Grande;1;0;0;21;330.0;;
Pavuna;1;0;0;40;550.0;;
Copacabana;1;0;0;18;1000.0;530.0;25.0
Olaria;1;1;0;60;860.0;555.0;80.0
Irajá;1;0;0;30;500.0;;
Abolição;1;0;0;50;1100.0;;18.0
Senador Vasconcelos;1;1;1;50;800.0;180.0;
Copacabana;1;0;0;28;1000.0;387.0;24.0
Botafogo;1;0;0;28;950.0;290.0;27.0
Engenho Novo;1;1;0;62;650.0;612.0;
Flamengo;1;0;0;18;890.0;300.0;
Marechal Hermes;1;0;0;50;800.0;200.0;
Glória;1;0;0;26;900.0;402.0;
Piedade;1;0;0;35;670.0;;
Campo Grande;1;0;0;50;550.0;;
Riachuelo;1;0;0;35;850.0;;
Praça Seca;1;1;0;37;500.0;322.0;
Copacabana;1;0;0;25;1100.0;431.0;30.0
Andaraí;1;0;0;42;900.0;447.0;20.0
Curicica;1;1;0;18;990.0;277.0;
Centro;1;0;0;43;1000.0;400.0;18.0
Lins de Vasconcelos;1;1;1;98;800.0;913.0;82.0
Senador Vasconcelos;1;0;0;40;700.0;;
Higienópolis;1;0;0;30;850.0;;
